Fabric Name,Fabric #,Style #'s
Grey harnaz,6081,"19046, 19094, 19095"
Teal grey moss crepe,4038,"19047, 19048, 19417"
Navy check crepe,9058,19041
white and black printed crepe,9045,"19050, 19053, 19021"
white and blue printed crepe,9046,"19052, 19054, 19041"
White & red check crepe,9047,19055
Orange harnaz,6080,"19056, 19173, 19174"
Navy white  floral ggt,5062,19060
Turquoise multi floral crepe,9068,"19061, 19062"
Multi houndstooth crepe,9035,"19058, 19071, 19086"
 Yellow heart print crepe,9051,19065
Light yellow moss crepe,4040,"19068, 19048"
Sea green moss crepe,4041,19069
Turquoise heart print crepe,9050,19067
Peach moss crepe,4039,"19072, 19047"
sky blue strip crepe,9052,"19076, 19151"
Red stripe crepe,9054,"19077, 19150, 19293"
Blue stripe crepe,9049,"19078, 19291"
Navy Dark stripe crepe,9055,"19079, 19300"
Orange Black zebra print crepe,9041,19080
Brown animal printed crepe,9064,"19074, 19082, 19073, 19082"
Black & blue snake print crepe,9034,19075
Mint green floral crepe,9038,19083
Red & navy stripe crepe,9036,"19042, 19089"
Multi stripe crepe,9062,"19091, 19294, 19383, 19299"
Burgundy lurex ggt,8019,19096
Red silver lurex ggt,8017,19097
lavender ggt,8035,"19102, 19306"
Lavender silk,6087,19103
Pink shimmery ggt,8018,19106
Black lurex ggt,8021,19107
Burgundy silver lurex stripe ggt,8020,19108
Sea green french crepe,6089,19113
Yellow shimmery ggt,8032,19115
Multi abstract print ggt,2099,"19119, 19310"
Peach Nysha silk,6085,19120
Brown sherpa,8022,19136
Yellow nysha silk,6086,"19121, 19122, 19112, 19206"
Wine sherpa,8023,19137
Black & brown animal print crepe,9070,"19124, 19249, 19130, 19226, 19227, 19228"
Rust solid crepe,3081,19126
Peach french crepe,3076,"19127, 19116"
Beige animal print crepe,9073,19129
Beige sherpa,8029,19140
Green fleece,8025,"19144, 19253"
Black & red chain print ggt,9071,19148
navy fleece,8034,19153
White check wool,8024,19154
light yellow crepe,3086,19156
Navy white plaid crepe,9072,"19159, 19171"
Pink fleece,8033,19161
Rose pink mosscrep,4018,19169
Fusia pink ggt,3214,19168
Olive shimmery cosmic,6063,19170
Gray Silk Crepe ,6091,19175
Green floral net,3215,19162
Beige fleece,8026,"19165, 19252, 19152, 19153"
Beige silk,3110,19203
Royal blue crepe,3087,"19246, 19416"
Marbel print satin,9077,19256
Off-white sherpa fleece,3108,"19257, 19239"
Royal blue frence crepe,3083,19258
Mustard frence crepe,3084,19259
Purple vichitra ,3109,19262
Electric blue cotton slub,3117,"19263, 19278, 19507"
Brown slub,9029,"19268, 19276"
Heather blue cotton slub,3118,"19273, 19277"
Green satin,3107,"19288, 19319"
Mehndi colour satin,3106,"19289, 19318"
Brown lycra,3112,19304
